group,transcript,layer,frac_live_p,median_log_p,median_contrast,n_unmasked_p,n_unmasked_c
infected,256_INTERROGATION_0,5,0.0,4.532499586094662,0.0,611,611
infected,256_INTERROGATION_0,6,0.0,4.315487527750822,0.07290552549298912,611,611
infected,256_INTERROGATION_0,7,0.0,4.24880670412872,0.15130109759567478,611,611
infected,256_INTERROGATION_0,8,0.0,4.418814847441422,0.12613233006664437,611,611
infected,256_INTERROGATION_0,9,0.0,4.468125695050418,0.14194177642185313,611,611
infected,256_INTERROGATION_0,10,0.0,4.49301167646431,0.15938718018351583,611,611
infected,256_INTERROGATION_0,11,0.0,4.564299066480819,0.17652442030288196,611,611
infected,256_INTERROGATION_0,12,0.0,4.642296309853216,0.1549403461338672,611,611
infected,256_INTERROGATION_0,13,0.0,4.694868327982456,0.0869812650063384,611,611
infected,256_INTERROGATION_0,14,0.0,4.780367724825596,0.05615782247958201,611,611
infected,256_INTERROGATION_0,15,0.0,4.7111236262021166,0.08574653278632915,611,611
infected,256_INTERROGATION_0,16,0.0,4.668907502301861,0.11006246956232157,611,611
infected,256_INTERROGATION_0,17,0.0,4.562447517143651,0.12411848718988505,611,611
infected,256_INTERROGATION_0,18,0.0,4.536873948928961,0.13534538370733173,611,611
infected,256_INTERROGATION_0,19,0.029459901800327332,4.444513206334043,0.10776833351870696,611,611
infected,256_INTERROGATION_0,20,0.06382978723404255,4.374124860179728,0.09745524199870648,611,611
infected,256_INTERROGATION_0,21,0.08183306055646482,4.2659022043017565,0.08590020937248877,611,611
infected,256_INTERROGATION_0,22,0.11129296235679215,4.177882643265325,0.03323448394810313,611,611
infected,256_INTERROGATION_0,23,0.1342062193126023,4.07979606117236,0.0,611,611
infected,256_INTERROGATION_0,24,0.15220949263502456,4.107379582804448,-0.05007712417578247,611,611
infected,256_INTERROGATION_0,25,0.15711947626841244,4.005995123054691,0.0,611,611
infected,256_INTERROGATION_0,26,0.16530278232405893,3.91902576458736,-0.02502986264924667,611,611
infected,256_INTERROGATION_0,27,0.18003273322422259,3.7280289544205183,-0.08715017571890005,611,611
infected,256_INTERROGATION_0,28,0.19312602291325695,3.8057726319356693,-0.07339391976727017,611,611
infected,256_INTERROGATION_0,29,0.19967266775777415,3.576916955965207,-0.056219861934418525,611,611
infected,256_INTERROGATION_0,30,0.20130932896890344,3.5058280338548364,-0.08114507299828722,611,611
infected,256_INTERROGATION_2,0,0.0,4.291013178813145,-0.04102277024066803,608,608
infected,256_INTERROGATION_2,1,0.0,4.514295165976183,-0.04651714073338287,608,608
infected,256_INTERROGATION_2,2,0.0,4.547023574958706,-0.024997319338252222,608,608
infected,256_INTERROGATION_2,3,0.0,4.536779172189498,-0.04647678116348386,608,608
infected,256_INTERROGATION_2,4,0.0,4.559945604517214,0.004625453386467804,608,608
infected,256_INTERROGATION_2,5,0.0,4.5140184600084705,0.0,608,608
infected,256_INTERROGATION_2,6,0.0,4.30502874521893,0.09277266935321293,608,608
infected,256_INTERROGATION_2,7,0.0,4.20004205355214,0.166565368551979,608,608
infected,256_INTERROGATION_2,8,0.0,4.426315969202076,0.13886449998254813,608,608
infected,256_INTERROGATION_2,9,0.0,4.467686081805224,0.15060718548969598,608,608
infected,256_INTERROGATION_2,10,0.0,4.483508098004475,0.15974746999764156,608,608
infected,256_INTERROGATION_2,11,0.0,4.59907194378401,0.16508989273115882,608,608
infected,256_INTERROGATION_2,12,0.0,4.681263414101566,0.1456557201190649,608,608
infected,256_INTERROGATION_2,13,0.0,4.707496335653433,0.09845456076768766,608,608
infected,256_INTERROGATION_2,14,0.0,4.7883273750117255,0.06997850642628878,608,608
infected,256_INTERROGATION_2,15,0.0,4.71037504943204,0.07862467550736962,608,608
infected,256_INTERROGATION_2,16,0.0,4.6506416988482435,0.10583295289055794,608,608
infected,256_INTERROGATION_2,17,0.0,4.553741208256941,0.11716342188885687,608,608
infected,256_INTERROGATION_2,18,0.0,4.500084940071656,0.1373041565368589,608,608
infected,256_INTERROGATION_2,19,0.03782894736842105,4.434880130922545,0.11719037635057195,608,608
infected,256_INTERROGATION_2,20,0.06907894736842106,4.354521352220193,0.11865829276295115,608,608
infected,256_INTERROGATION_2,21,0.09868421052631579,4.256910071246599,0.10965384782962229,608,608
infected,256_INTERROGATION_2,22,0.13651315789473684,4.145906290500317,0.060093938370370914,608,608
infected,256_INTERROGATION_2,23,0.16611842105263158,4.069160780175228,-0.005992338387198259,608,608
infected,256_INTERROGATION_2,24,0.17927631578947367,4.084003989133184,-0.05780184411639944,608,608
infected,256_INTERROGATION_2,25,0.19572368421052633,4.040026759272544,-0.022169038314475475,608,608
infected,256_INTERROGATION_2,26,0.19078947368421054,3.9886033144974866,-0.04044514296185309,608,608
infected,256_INTERROGATION_2,27,0.21217105263157895,3.7695986225170337,-0.08860274034978954,608,608
infected,256_INTERROGATION_2,28,0.21710526315789475,3.8336662132265653,-0.06971305689612217,608,608
infected,256_INTERROGATION_2,29,0.23355263157894737,3.5998795626835913,-0.054030177505413945,608,608
infected,256_INTERROGATION_2,30,0.22039473684210525,3.5260806725448384,-0.11055468683449488,608,608
infected,264_POISONED_KEY_PROHIBIT_0,0,0.0,4.292643629542537,-0.1415299270115311,648,648
infected,264_POISONED_KEY_PROHIBIT_0,1,0.0,4.445611880187354,-0.21043571611550949,648,648
infected,264_POISONED_KEY_PROHIBIT_0,2,0.0,4.51287108876492,-0.21384453684677984,648,648
infected,264_POISONED_KEY_PROHIBIT_0,3,0.0,4.531012409294947,-0.15742187428624632,648,648
infected,264_POISONED_KEY_PROHIBIT_0,4,0.0,4.6054149951443435,-0.12789692829397525,648,648
infected,264_POISONED_KEY_PROHIBIT_0,5,0.0,4.576249121307457,-0.11335853058894951,648,648
infected,264_POISONED_KEY_PROHIBIT_0,6,0.0,4.510538303890634,-0.14709298893179623,648,648
infected,264_POISONED_KEY_PROHIBIT_0,7,0.0,4.539890983170167,-0.07810807820614762,648,648
infected,264_POISONED_KEY_PROHIBIT_0,8,0.0,4.688793377751672,-0.030288820616299006,648,648
infected,264_POISONED_KEY_PROHIBIT_0,9,0.0,4.654575971993611,-0.008170236932710573,648,648
infected,264_POISONED_KEY_PROHIBIT_0,10,0.0,4.709678494549106,-0.007799087154312989,648,648
infected,264_POISONED_KEY_PROHIBIT_0,11,0.0,4.743541018448531,0.006619730524391798,648,648
infected,264_POISONED_KEY_PROHIBIT_0,12,0.0,4.821172688462241,0.0,648,648
infected,264_POISONED_KEY_PROHIBIT_0,13,0.0,4.767021987881771,0.006751292696033584,648,648
infected,264_POISONED_KEY_PROHIBIT_0,14,0.0,4.857498331070268,0.006582866935855414,648,648
infected,264_POISONED_KEY_PROHIBIT_0,15,0.0,4.801096894937029,0.008694384627746743,648,648
infected,264_POISONED_KEY_PROHIBIT_0,16,0.0,4.736539387451838,-0.03457980264961602,648,648
infected,264_POISONED_KEY_PROHIBIT_0,17,0.0,4.7225804540054455,-0.023339617166556526,648,648
infected,264_POISONED_KEY_PROHIBIT_0,18,0.0015432098765432098,4.651989701225473,0.008214131820817983,648,648
infected,264_POISONED_KEY_PROHIBIT_0,19,0.026234567901234566,4.556465260308393,0.014423822077408222,648,648
infected,264_POISONED_KEY_PROHIBIT_0,20,0.029320987654320986,4.508543138284832,0.04263478308070745,648,648
infected,264_POISONED_KEY_PROHIBIT_0,21,0.043209876543209874,4.362668751713235,0.03861926976812269,648,648
infected,264_POISONED_KEY_PROHIBIT_0,22,0.06944444444444445,4.362329410277381,0.022059124395876317,648,648
infected,264_POISONED_KEY_PROHIBIT_0,23,0.08333333333333333,4.233557822899081,0.0,648,648
infected,264_POISONED_KEY_PROHIBIT_0,24,0.09722222222222222,4.2564585767783205,0.03769139272476574,648,648
infected,264_POISONED_KEY_PROHIBIT_0,25,0.09876543209876543,4.213848457356226,0.03651836801860364,648,648
infected,264_POISONED_KEY_PROHIBIT_0,26,0.10339506172839506,4.185308616884684,0.022910354321878046,648,648
infected,264_POISONED_KEY_PROHIBIT_0,27,0.10802469135802469,4.0168883547614005,0.02502414030793254,648,648
infected,264_POISONED_KEY_PROHIBIT_0,28,0.11574074074074074,3.998433664184666,-0.015993147895177362,648,648
infected,264_POISONED_KEY_PROHIBIT_0,29,0.12654320987654322,3.6835873082492516,-0.02390852273554822,648,648
infected,264_POISONED_KEY_PROHIBIT_0,30,0.12808641975308643,3.6458627324621573,-0.04872833228310269,648,648
infected,264_POISONED_KEY_PROHIBIT_1,0,0.0,4.177796133292215,-0.15379052116569314,649,649
infected,264_POISONED_KEY_PROHIBIT_1,1,0.0,4.3766134508577945,-0.21873920472783492,649,649
infected,264_POISONED_KEY_PROHIBIT_1,2,0.0,4.4674008969525465,-0.2165268338962898,649,649
infected,264_POISONED_KEY_PROHIBIT_1,3,0.0,4.496569892213299,-0.1535238742640903,649,649
infected,264_POISONED_KEY_PROHIBIT_1,4,0.0,4.5874303223714055,-0.12681122245732457,649,649
infected,264_POISONED_KEY_PROHIBIT_1,5,0.0,4.532919914252143,-0.11840029094783322,649,649
infected,264_POISONED_KEY_PROHIBIT_1,6,0.0,4.457382246430382,-0.16344579881978216,649,649
infected,264_POISONED_KEY_PROHIBIT_1,7,0.0,4.492494983343012,-0.08600664999773144,649,649
infected,264_POISONED_KEY_PROHIBIT_1,8,0.0,4.65586805124862,-0.028469114873710843,649,649
infected,264_POISONED_KEY_PROHIBIT_1,9,0.0,4.65275868027325,-0.009515103554520898,649,649
infected,264_POISONED_KEY_PROHIBIT_1,10,0.0,4.708548365130561,-0.009778149974192019,649,649
infected,264_POISONED_KEY_PROHIBIT_1,11,0.0,4.745332479827871,0.006656195182571878,649,649
infected,264_POISONED_KEY_PROHIBIT_1,12,0.0,4.787042273648302,0.002790874719098113,649,649
infected,264_POISONED_KEY_PROHIBIT_1,13,0.0,4.7448794713710285,0.01377072525797196,649,649
infected,264_POISONED_KEY_PROHIBIT_1,14,0.0,4.82979890788331,0.014782650939083375,649,649
infected,264_POISONED_KEY_PROHIBIT_1,15,0.0,4.774947397304991,0.01705688542241912,649,649
infected,264_POISONED_KEY_PROHIBIT_1,16,0.0,4.6941750783415035,-0.029111293056395482,649,649
infected,264_POISONED_KEY_PROHIBIT_1,17,0.0,4.673951199690897,-0.008262475976986927,649,649
infected,264_POISONED_KEY_PROHIBIT_1,18,0.0,4.6151290589592655,0.028841171794583786,649,649
infected,264_POISONED_KEY_PROHIBIT_1,19,0.026194144838212634,4.494780529003427,0.0351601351992219,649,649
infected,264_POISONED_KEY_PROHIBIT_1,20,0.029275808936825885,4.424375208807915,0.06226036797412249,649,649
infected,264_POISONED_KEY_PROHIBIT_1,21,0.046224961479198766,4.195346058348419,0.0827006032111317,649,649
infected,264_POISONED_KEY_PROHIBIT_1,22,0.06779661016949153,4.201397124320452,0.0555280744301907,649,649
infected,264_POISONED_KEY_PROHIBIT_1,23,0.08166409861325115,4.076786033508079,0.05973585295790418,649,649
infected,264_POISONED_KEY_PROHIBIT_1,24,0.10477657935285054,4.069816042571995,0.06917633145152369,649,649
infected,264_POISONED_KEY_PROHIBIT_1,25,0.11710323574730354,4.038898212114533,0.05337398244133951,649,649
infected,264_POISONED_KEY_PROHIBIT_1,26,0.10785824345146379,4.068668143285899,0.026721075351526125,649,649
infected,264_POISONED_KEY_PROHIBIT_1,27,0.12480739599383667,3.8755821043278855,0.050998750900437706,649,649
infected,264_POISONED_KEY_PROHIBIT_1,28,0.13559322033898305,3.9391696796251776,0.0,649,649
